444.96,498.22,364.61,526.51,456.31,539.40,447.46,441.43,415.30,511.64,452.66,344.19,435.46,595.42,684.04,461.67,356.54,369.95,500.73,455.63,1
367.91,469.74,310.26,478.74,329.03,390.37,386.34,429.68,543.76,336.38,291.57,364.85,308.20,510.21,307.28,475.36,232.37,557.73,344.08,340.96,1
541.24,629.69,282.38,499.90,389.09,494.99,284.25,635.94,471.02,468.06,522.18,616.75,494.67,550.99,526.42,206.81,389.96,460.75,375.53,560.47,1
370.28,429.38,266.61,453.04,261.98,621.14,465.51,481.75,449.86,491.66,548.07,463.69,478.60,395.80,633.71,237.03,485.18,541.90,486.65,157.59,0
262.19,525.28,333.67,206.78,464.90,449.64,277.71,520.36,309.43,622.16,512.31,471.09,294.82,553.00,152.87,277.53,334.45,513.81,461.55,634.82,0
487.22,424.16,544.22,405.73,525.97,333.50,527.84,536.81,502.83,434.12,603.85,466.46,732.10,253.76,637.46,567.12,512.39,466.04,385.14,454.34,1
332.45,308.63,366.20,433.04,298.31,438.80,225.50,387.22,135.37,373.11,436.98,382.70,429.32,285.67,479.08,215.81,438.14,484.61,367.19,466.20,1
282.20,503.68,287.70,397.74,415.94,614.04,483.99,519.32,307.43,557.91,511.37,504.07,274.73,721.12,404.09,455.33,414.28,445.68,275.56,401.47,0
185.55,333.10,419.96,460.82,433.89,572.75,722.76,456.02,229.83,318.55,249.81,403.75,467.78,619.80,445.14,350.29,520.62,533.56,442.90,396.03,0
608.07,313.22,400.75,257.83,365.12,534.55,441.11,387.58,354.06,532.16,382.24,287.64,419.95,552.15,405.63,344.86,379.62,482.01,417.58,449.02,0
527.53,466.95,431.24,506.47,521.15,475.31,411.55,290.61,460.83,436.11,420.22,595.63,326.83,531.19,394.97,535.65,230.70,545.45,382.84,462.38,1
428.48,740.03,280.33,488.79,470.35,415.56,458.24,323.55,371.29,494.44,398.74,668.89,583.69,407.72,202.73,414.12,325.40,582.11,186.38,584.20,1
329.09,332.56,421.49,549.55,253.78,180.82,237.86,417.47,383.23,354.86,325.32,264.56,334.28,366.39,281.31,441.85,383.21,338.41,530.59,287.52,0
